NOMBDEP;NOMBPROV;NOMBDIST;UBIGEO;BUDGET;SEX_M;SEX_F;AGE_0_2;AGE_3_8;AGE_9_18;AGE_19_45;AGE_46_65;AGE_66_120;AREA_URB;AREA_RUR;CONTRACT_SERV;SUBSIDY;CASES_COVID;UBN_1;UBN_2;UBN_3;UBN_4;UBN_5;UBN_6
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;604775.01;1761606;1962994;185070;371590;664002;1637581;621210;263159;3667060;57540;13732024.01;727320;1953;20.129999;8.96;0.95999998;1.35;1.24;1.26
AMAZONAS;CHACHAPOYAS;ASUNCION;10102;50000;15831;15469;1450;2538;4592;12085;5317;5680;17161;14139;0;1520;4;94.230003;18.27;0.95999998;0;0.95999998;7.6900001
AMAZONAS;CHACHAPOYAS;BALSAS;10103;50000;67457;62743;8462;17167;26233;40740;27201;11364;35663;94537;0;13680;33;67.32;20.85;23.379999;12.39;1.97;3.3800001
AMAZONAS;CHACHAPOYAS;CHETO;10104;76960.1;38317;39283;3626;6648;15955;27801;14988;8945;54272;23328;0;18240;8;55;4.0900002;3.6400001;11.82;0.91000003;2.73
AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;68328;36619;34081;3384;8822;7735;26225;15349;9910;22721;47979;530000;9880;1;91.75;17.959999;6.8000002;25.24;3.4000001;1.46
AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;78125.5;107088;102012;11845;28041;46171;66839;34568;23327;57533;151567;50000;6080;2;92.279999;12.13;23.35;7.9000001;1.65;2.5699999
AMAZONAS;CHACHAPOYAS;GRANADA;10107;69387.42;27675;29125;3021;5438;11360;20666;10997;5559;20424;36376;0;9120;1;91.029999;4.4899998;2.5599999;2.5599999;0;3.8499999
AMAZONAS;CHACHAPOYAS;HUANCAS;10108;72550.63;20923;25277;2298;4596;6531;16569;10038;6652;40999;5201;0;4560;15;89.43;6.5;0.81;13.82;0;4.0700002
AMAZONAS;CHACHAPOYAS;LA JALCA;10109;115525;221331;234869;27440;65033;102385;155935;70836;36747;264243;191957;83650;5320;36;84.419998;21.110001;2.26;5.71;2.26;4.3499999
AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;10110;67093.64;207771;204629;20064;47138;82190;138152;81223;46292;315223;97177;49998.64;56240;16;49.139999;17.17;9.0799999;2;2.1800001;4.6300001
AMAZONAS;CHACHAPOYAS;LEVANTO;10111;50000;47879;48121;4957;12091;18982;33491;16927;10156;55617;40383;0;19760;9;67.459999;17.059999;1.59;5.5599999;1.1900001;3.97
AMAZONAS;CHACHAPOYAS;MAGDALENA;10112;79861.27;49068;52332;5922;10877;19700;30940;20667;14140;83150;18250;48661.95;34960;11;67.82;13.88;4.73;9.7799997;1.58;5.9899998
AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;10113;51676.96;82340;82460;7980;19225;29865;53563;36636;19225;117524;47276;48121.22;5320;5;67.489998;13.05;0.99000001;3.6900001;0.74000001;4.4299998
AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;10114;50000;126581;134319;11244;29258;53316;91400;54042;22850;76771;184129;50000;28880;8;52.209999;6.5599999;4.8499999;11.41;3.4200001;4.2800002
AMAZONAS;CHACHAPOYAS;MONTEVIDEO;10115;50000;29637;30363;2903;6048;8952;17903;15605;9435;55645;4355;50000;760;3;79.269997;10.98;0;0;0.61000001;4.8800001
AMAZONAS;CHACHAPOYAS;OLLEROS;10116;50000;23194;22106;2174;3866;6402;17999;9906;5315;16308;28992;0;760;5;91.889999;9.46;6.0799999;4.0500002;0;3.3800001
AMAZONAS;CHACHAPOYAS;QUINJALCA;10117;49964.68;42691;50309;3749;9554;11610;33016;22736;12819;12215;80785;49964.68;0;7;95.93;17.969999;22.370001;49.150002;2.3699999;5.4200001
AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;10118;85948.87;17068;17432;1453;2300;4842;9805;10047;7021;26147;8353;49997.46;12160;6;48.040001;2.9400001;18.629999;13.73;1.96;0
AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;10119;90800;37830;32270;3626;7131;12207;27194;11119;9186;51971;18129;48533;20520;6;80.209999;15.51;1.0700001;1.0700001;2.6700001;4.2800002
AMAZONAS;CHACHAPOYAS;SOLOCO;10120;50000;79078;68922;5441;14873;24546;48003;35186;21402;27569;120431;50000;6840;13;75.919998;3.9300001;3.1900001;7.6199999;1.23;4.4200001
AMAZONAS;CHACHAPOYAS;SONCHE;10121;50000;14889;15011;968;3753;5084;11258;5326;3511;12468;17432;38688.31;0;3;84.879997;18.6;0;18.6;3.49;1.16
AMAZONAS;BAGUA;BAGUA;10201;676040.2;1449935;1517365;154333;339676;547617;1160741;572858;205537;2688203;279097;1231650;845120;1783;31.5;20.92;3.03;0.75;2.3399999;2.51
AMAZONAS;BAGUA;ARAMANGO;10202;322910.44;596530;547370;68271;155653;241352;403977;198923;81012;310104;833796;200046;50160;3329;66.849998;36.549999;18.49;9.1000004;5.3899999;4.8600001
AMAZONAS;BAGUA;COPALLIN;10203;65000;269589;257811;23798;55649;93148;192667;106129;60216;265142;262258;50000;50920;91;71.769997;34.970001;14.42;2.1099999;1.5599999;7.4099998
AMAZONAS;BAGUA;EL PARCO;10204;51500;76947;69253;6973;16472;26090;53262;26932;17433;77308;68892;0;6080;76;80.669998;47.68;2.8399999;1.55;2.8399999;6.4400001
AMAZONAS;BAGUA;IMAZA;10205;200000;1453545;1483955;252775;554951;723587;1015787;309868;89667;528988;2408512;0;21280;2083;82.209999;47.93;29.98;11.73;9.5600004;5.04
AMAZONAS;BAGUA;LA PECA;10206;142999.5;383088;361812;38465;87628;133786;259880;150855;78974;464225;280675;0;49400;683;49.16;37.610001;6.8699999;1.37;1.83;5.3899999
AMAZONAS;BONGARA;JUMBILLA;10301;100293.44;65116;67184;5771;14047;24500;43120;31033;14700;106711;25589;0;16720;14;60.18;8.3699999;8.8199997;2.71;1.13;1.13
AMAZONAS;BONGARA;CHISQUILLA;10302;50000;18174;15126;2176;4462;5332;10556;7182;3591;12841;20459;0;760;1;83.480003;10.43;2.6099999;4.3499999;0.87;0.87
AMAZONAS;BONGARA;CHURUJA;10303;49999.87;15350;15350;1524;3048;5008;10233;7076;3810;29611;1089;49999.87;13680;16;38.200001;15.73;4.4899998;21.35;1.12;3.3699999
AMAZONAS;BONGARA;COROSHA;10304;50000;42218;41782;5114;12295;19368;31772;11316;4788;8378;75622;50000;0;2;87.120003;24.459999;3.4300001;4.7199998;0.43000001;1.72
AMAZONAS;BONGARA;CUISPES;10305;65944;34387;38413;2829;6747;15452;25137;14799;8270;40154;32646;50000;3800;6;78.669998;21.780001;4;7.5599999;2.22;4
AMAZONAS;BONGARA;FLORIDA;10306;100000;310453;317747;34180;76198;126271;232840;113427;48985;382189;246011;80985;180120;42;54.549999;24.549999;2.99;0.89999998;2.75;4.73
AMAZONAS;BONGARA;JAZAN;10307;140309.01;371082;396118;33853;88389;135849;276923;160668;75653;642345;124855;98165;366320;279;35.560001;14.38;10.53;12.18;1.6900001;2.3299999
AMAZONAS;BONGARA;RECTA;10308;49901;11735;10865;978;1956;2716;8584;5215;3368;6411;16189;43500;760;1;94.940002;16.459999;10.13;36.709999;0;0
AMAZONAS;BONGARA;SAN CARLOS;10309;70683;27090;26110;1958;3046;8051;19800;14687;5984;38513;14687;0;4560;3;92.349998;8.1999998;17.49;21.309999;4.9200001;0.55000001
AMAZONAS;BONGARA;SHIPASBAMBA;10310;70266;80781;80019;9254;19923;32987;58572;27217;13826;85462;75338;50000;30400;6;55.529999;22.790001;6.6399999;7.52;1.55;3.76
AMAZONAS;BONGARA;VALERA;10311;73521.4;45281;48219;4027;7619;12300;35702;21878;13062;29389;64111;49975.9;6080;7;51;8.6700001;1.33;27.67;2.3299999;3.3299999
AMAZONAS;BONGARA;YAMBRASBAMBA;10312;100000;300295;304105;35483;83264;123427;231834;95781;37659;236732;367668;100000;78280;5;63.860001;26.139999;8.3699999;2.05;2.1700001;5.7800002
AMAZONAS;CONDORCANQUI;NIEVA;10401;240365.7;1122506;1137194;212149;441747;536272;782943;239264;53853;445262;1814438;125000;22040;1973;78.900002;49.639999;30;6.96;8.3900003;5.46
AMAZONAS;CONDORCANQUI;EL CENEPA;10402;199977.8;559871;585229;109715;243657;287844;371448;113104;23349;55862;1089238;199977.8;760;913;94.779999;53.860001;40.009998;0.62;22.23;6.7600002
AMAZONAS;CONDORCANQUI;RIO SANTIAGO;10403;239323;846598;883002;164198;386769;442380;563394;149887;27241;246799;1482801;200000;0;511;51.990002;59.580002;55.73;59.41;11.17;8.9899998
AMAZONAS;LUYA;LAMUD;10501;166265.6;106322;130278;8204;23955;41894;71975;51739;40582;211332;25268;294855.36;47120;54;58.34;5.4699998;0.52999997;2.27;0.80000001;5.3400002
AMAZONAS;LUYA;CAMPORREDONDO;10502;216381;368409;334391;45504;105010;143513;260227;106651;44410;448042;254758;200000;103360;21;73.080002;25.290001;1.63;0.54000002;1.74;4.5799999
AMAZONAS;LUYA;COCABAMBA;10503;50000;107398;94602;13999;33029;37294;73713;29529;15858;34450;167550;50000;760;2;93.739998;15.38;41.32;6.8000002;2.3299999;3.04
AMAZONAS;LUYA;COLCAMAR;10504;74816.15;96580;105220;9406;21547;35329;62673;44735;30079;129174;72626;49929.75;6840;5;86.57;9.4099998;0.15000001;2.9300001;1.39;8.0200005
AMAZONAS;LUYA;CONILA;10505;50000;90365;92335;10721;21552;34680;59952;35555;21443;108088;74612;48411.86;9120;28;82.540001;6.6399999;0.56999999;3.8;1.33;7.02
AMAZONAS;LUYA;INGUILPATA;10506;69486;24922;25578;874;3716;7542;14866;11805;12133;33776;16724;50000;3040;3;88.82;8.2399998;0.58999997;2.9400001;2.9400001;10
AMAZONAS;LUYA;LONGUITA;10507;77899.5;48471;43329;5690;13568;17944;32606;13568;8972;22759;69041;141019.24;0;1;95.669998;19.290001;2.76;1.5700001;0.79000002;4.3299999
AMAZONAS;LUYA;LONYA CHICO;10508;82500;47034;45066;3610;9516;18486;26689;19142;15532;37956;54144;0;3800;1;92.25;5.9000001;0.74000001;22.139999;1.11;8.8599997
AMAZONAS;LUYA;LUYA;10509;138044.6;200688;224312;21436;44950;87165;146552;78197;49434;249903;175097;0;52440;114;67.610001;5.5700002;0.34;5.23;1.71;7.46
AMAZONAS;LUYA;LUYA VIEJO;10510;52433;20234;21766;2734;5797;9297;14000;6563;3938;42000;0;49880;760;5;96.120003;11.65;0;3.8800001;0.97000003;11.65
AMAZONAS;LUYA;MARIA;10511;81958;42428;38272;4265;9185;14762;28212;16512;8311;40459;40241;50000;3800;2;75.519997;12.45;5.8099999;0.82999998;2.0699999;2.9000001
AMAZONAS;LUYA;OCALLI;10512;159777;199085;183115;20784;48896;74821;132031;70774;36645;160581;221619;89025.5;11400;75;81.709999;14.95;2.4100001;1.21;1.95;4.8299999
AMAZONAS;LUYA;OCUMAL;10513;100000;199081;176219;19361;48676;90243;120433;61912;36425;55349;319951;0;5320;19;86.400002;18.17;4.5700002;3.01;1.5599999;3.6800001
AMAZONAS;LUYA;PISUQUIA;10514;149999.6;275736;241064;30406;80500;113860;171173;83016;41125;38719;478081;102369;0;40;91.110001;13.29;6.6500001;1.49;1.87;5.3800001
AMAZONAS;LUYA;PROVIDENCIA;10515;50000;74902;65498;7436;20229;33022;43301;23947;14106;25368;115032;0;5320;7;85.059998;15.55;2.4400001;3.3499999;1.83;3.05
AMAZONAS;LUYA;SAN CRISTOBAL;10516;49997.78;26570;33130;3171;6451;12793;16729;12465;8638;47782;11918;49997.78;22040;4;94.739998;11.05;1.05;6.3200002;1.05;13.68
AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;10517;50000;39586;36414;5905;7655;12794;25042;15091;9951;39914;36086;50000;12920;7;83.540001;17.700001;0;4.1199999;3.7;5.7600002
AMAZONAS;LUYA;SAN JERONIMO;10518;55017;32050;32050;2078;6782;7110;20018;15314;13564;18377;45723;50000;3800;16;88.889999;12.76;4.9400001;15.64;2.0599999;7
AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;10519;50000;23283;22517;3061;4154;10494;13336;7870;7214;7214;38586;42829.35;0;0;90.699997;17.049999;1.55;1.55;1.55;4.6500001
AMAZONAS;LUYA;SANTA CATALINA;10520;105051.3;101719;104781;14547;31828;44188;74047;28984;14000;44734;161766;0;3040;25;90.559998;10.74;1.3;9.0699997;2.78;4.0700002
AMAZONAS;LUYA;SANTO TOMAS;10521;208582.89;160895;168005;16954;39485;66830;100081;64205;43314;96690;232210;70668.34;19760;4;89.540001;13.7;2.05;2.05;6.3600001;6.04
AMAZONAS;LUYA;TINGO;10522;50000;66599;67801;7655;16950;25152;48664;23731;13014;77425;56975;50000;24320;15;71.949997;18.18;3.3800001;7.27;4.9400001;3.1199999
AMAZONAS;LUYA;TRITA;10523;93130.45;72086;72414;9188;16846;30410;52943;20783;15205;89260;55240;49433.35;2280;3;89.209999;6.5799999;0.52999997;3.1600001;0.79000002;3.95
AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;10601;117291.12;301034;311966;28308;72382;114038;225545;118526;58112;494819;118181;76911;114760;46;24.049999;10.87;1.47;4.0700002;1.58;2.3800001
AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;10602;49999.8;155259;132241;19681;44310;55474;110834;41663;16228;6330;281170;49922.8;0;9;75.169998;20.030001;21.5;17.219999;4.1399999;1.0700001
AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;10603;50000;37301;31199;3224;6792;11973;25097;14506;7713;59750;8750;50000;3040;4;60.220001;19.35;1.08;3.23;0;1.08
AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;10604;50000;153888;147212;9438;21639;40975;86325;89547;55823;82987;218113;0;13680;9;77.239998;7.0500002;2.1099999;22.559999;1.51;5.7399998
AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;10605;77392.3;134976;123124;11392;32680;46028;88718;54773;26811;46258;211842;0;3800;1;75.269997;17.530001;8.9700003;34.099998;2.1700001;2.04
AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;10606;52000;95753;88847;7711;16227;28427;61342;44309;27966;96673;87927;49992;9880;4;44.830002;12.37;0.41;17.65;1.62;4.46
AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;10607;50000;88376;84924;7135;17951;26927;60643;37399;24741;116454;56846;36632.5;25080;8;31.93;10.24;1.61;2.21;1;3.6099999
AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;10608;50000;27833;24267;1150;5981;7706;14031;14836;8741;29443;22657;48925;1520;0;59.509998;4.29;3.0699999;10.43;0.61000001;2.45
AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;10609;232525.04;531670;480230;63639;154898;213589;381030;149029;53973;63524;948376;0;3800;13;71.889999;19.57;22.23;15.67;6.04;2.05
AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;10610;65480;29680;29220;2761;5752;7017;18751;12309;12884;17486;41414;0;4560;1;69.650002;9.9499998;0.5;17.91;0;4.98
AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;10611;68433;16826;15674;1268;2074;4956;9105;9335;5993;7145;25355;0;760;0;89.190002;7.21;0;12.61;0;6.3099999
AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;10612;98760;168935;154665;25432;55698;72154;120142;40277;11738;40508;283092;98760;0;1;83.25;25.51;47.459999;3.05;2.9200001;2.4100001
AMAZONAS;UTCUBAMBA;BAGUA GRANDE;10701;429455.07;2767723;2829477;317609;692441;1114409;2239243;894813;369392;3924623;1672577;197537.59;643720;3138;43.639999;25.43;5.0700002;2.24;2.1199999;3.6400001
AMAZONAS;UTCUBAMBA;CAJARURO;10702;302792.4;1346901;1262599;135970;330295;549207;947601;449269;212454;911229;1698271;200000;164160;269;75.330002;34.23;9.2399998;2.6800001;3.48;4.9299998
AMAZONAS;UTCUBAMBA;CUMBA;10703;255090.74;453378;433322;50879;119435;184366;315926;150031;70029;341535;545165;100000;76000;30;69.190002;35.290001;3.23;4.6100001;4.6999998;5.3899999
AMAZONAS;UTCUBAMBA;EL MILAGRO;10704;115000;324748;302652;41358;86456;123395;236252;96314;47250;299593;327807;0;25840;156;80.769997;30.27;33.41;1.66;4.3899999;5.3400002
AMAZONAS;UTCUBAMBA;JAMALCA;10705;135270;381425;357175;44194;107311;150485;267768;114224;59265;144706;593894;0;5320;63;77.300003;31.799999;12.2;7.3400002;1.8099999;4.8099999
AMAZONAS;UTCUBAMBA;LONYA GRANDE;10706;200000.01;596677;541723;66398;153985;218343;443032;186504;75803;429775;708625;170959.6;116280;36;64.360001;24.700001;8.0699997;1.86;2.1600001;4.3099999
AMAZONAS;UTCUBAMBA;YAMON;10707;119170;176559;155141;18019;42950;67655;124543;56209;23685;64142;267558;100000;0;17;76.209999;33.369999;18.389999;18.5;2.0899999;5.4000001
ANCASH;HUARAZ;HUARAZ;20101;1064932.27;3245452;3489448;346138;697983;1113535;2835839;1184463;596774;6147211;587689;8318487.07;1672000;4225;21.57;14.83;1.95;5.5999999;1.24;2.52
ANCASH;HUARAZ;COCHABAMBA;20102;88058.97;95605;91995;9782;25968;34353;53567;36682;28763;49957;137643;50000;3800;13;94.660004;20.07;9.21;33.700001;3.8699999;8.29
ANCASH;HUARAZ;COLCABAMBA;20103;52981;16433;15267;2331;2564;4196;10372;7342;5361;13053;18647;0;9120;4;88.68;7.5500002;36.790001;10.38;2.8299999;1.89
ANCASH;HUARAZ;HUANCHAY;20104;83386;94463;90037;5940;18170;37156;49386;43562;31565;33662;150838;0;760;7;92.5;10.82;7.5;37.349998;2.0899999;6.6300001
ANCASH;HUARAZ;INDEPENDENCIA;20105;423350;4202566;4541134;458993;946171;1497406;3756151;1448374;684705;7408648;1335052;63619850.02;1716080;2147;28;13.78;2.02;5.1700001;1.36;3.48
ANCASH;HUARAZ;JANGAS;20106;92050.5;261595;265905;30399;53111;88402;213376;92013;52878;296537;230963;50000;45600;25;57.57;8.7600002;0.57999998;7.5300002;2.24;12.74
ANCASH;HUARAZ;LA LIBERTAD;20107;50000;56009;65791;7569;15720;27946;34933;21193;15371;30741;91059;0;5320;4;89.669998;20.360001;6.3800001;31;2.4300001;14.59
ANCASH;HUARAZ;OLLEROS;20108;86099.2;130436;143364;12578;27135;44139;87928;52640;52757;139753;134047;50038;8360;3;84.440002;15.14;1.9400001;14.58;2.9200001;14.44
ANCASH;HUARAZ;PAMPAS GRANDE;20109;49999.58;55534;55766;4890;9896;21771;28058;25497;22004;38652;72648;0;4560;2;92.209999;16.1;9.6099997;24.16;1.04;3.1199999
ANCASH;HUARAZ;PARIACOTO;20110;100000;257982;256118;26788;60798;103892;186236;87003;51596;146986;367114;0;8360;79;75.800003;17.57;6.4899998;5.79;2.23;7.3899999
ANCASH;HUARAZ;PIRA;20111;150005.5;176544;187956;18633;47280;69406;112960;72784;46581;110282;254218;0;8360;28;92.32;17.68;2.98;15.75;1.34;10.76
ANCASH;HUARAZ;TARICA;20112;99998.34;349395;382705;37735;84670;134401;289998;124734;66502;209754;522346;76304.84;20520;65;64.510002;16.549999;4.3499999;16.82;1.63;11.27
ANCASH;AIJA;AIJA;20201;76098.5;88382;92018;7714;19175;34493;53117;40444;26338;106345;74055;49514.2;23560;41;82.849998;11.68;3.8299999;6.02;1.28;2.3699999
