NOMBDEP;NOMBPROV;NOMBDIST;UBIGEO;BUDGET;SEX_M;AGE_66_120;AREA_URB;AREA_RUR;SUBSIDY;CASES_COVID;UBN_1;UBN_2;UBN_3;UBN_4;UBN_5;UBN_6
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;604775.01;1761606;263159;3667060;57540;727320;1953;20.129999;8.96;0.95999998;1.35;1.24;1.26
AMAZONAS;CHACHAPOYAS;ASUNCION;10102;50000;15831;5680;17161;14139;1520;4;94.230003;18.27;0.95999998;0;0.95999998;7.6900001
AMAZONAS;CHACHAPOYAS;BALSAS;10103;50000;67457;11364;35663;94537;13680;33;67.32;20.85;23.379999;12.39;1.97;3.3800001
AMAZONAS;CHACHAPOYAS;CHETO;10104;76960.1;38317;8945;54272;23328;18240;8;55;4.0900002;3.6400001;11.82;0.91000003;2.73
AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;68328;36619;9910;22721;47979;9880;1;91.75;17.959999;6.8000002;25.24;3.4000001;1.46
AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;78125.5;107088;23327;57533;151567;6080;2;92.279999;12.13;23.35;7.9000001;1.65;2.5699999
AMAZONAS;CHACHAPOYAS;GRANADA;10107;69387.42;27675;5559;20424;36376;9120;1;91.029999;4.4899998;2.5599999;2.5599999;0;3.8499999
AMAZONAS;CHACHAPOYAS;HUANCAS;10108;72550.63;20923;6652;40999;5201;4560;15;89.43;6.5;0.81;13.82;0;4.0700002
AMAZONAS;CHACHAPOYAS;LA JALCA;10109;115525;221331;36747;264243;191957;5320;36;84.419998;21.110001;2.26;5.71;2.26;4.3499999
AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;10110;67093.64;207771;46292;315223;97177;56240;16;49.139999;17.17;9.0799999;2;2.1800001;4.6300001
AMAZONAS;CHACHAPOYAS;LEVANTO;10111;50000;47879;10156;55617;40383;19760;9;67.459999;17.059999;1.59;5.5599999;1.1900001;3.97
AMAZONAS;CHACHAPOYAS;MAGDALENA;10112;79861.27;49068;14140;83150;18250;34960;11;67.82;13.88;4.73;9.7799997;1.58;5.9899998
AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;10113;51676.96;82340;19225;117524;47276;5320;5;67.489998;13.05;0.99000001;3.6900001;0.74000001;4.4299998
AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;10114;50000;126581;22850;76771;184129;28880;8;52.209999;6.5599999;4.8499999;11.41;3.4200001;4.2800002
AMAZONAS;CHACHAPOYAS;MONTEVIDEO;10115;50000;29637;9435;55645;4355;760;3;79.269997;10.98;0;0;0.61000001;4.8800001
AMAZONAS;CHACHAPOYAS;OLLEROS;10116;50000;23194;5315;16308;28992;760;5;91.889999;9.46;6.0799999;4.0500002;0;3.3800001
AMAZONAS;CHACHAPOYAS;QUINJALCA;10117;49964.68;42691;12819;12215;80785;0;7;95.93;17.969999;22.370001;49.150002;2.3699999;5.4200001
AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;10118;85948.87;17068;7021;26147;8353;12160;6;48.040001;2.9400001;18.629999;13.73;1.96;0
AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;10119;90800;37830;9186;51971;18129;20520;6;80.209999;15.51;1.0700001;1.0700001;2.6700001;4.2800002
AMAZONAS;CHACHAPOYAS;SOLOCO;10120;50000;79078;21402;27569;120431;6840;13;75.919998;3.9300001;3.1900001;7.6199999;1.23;4.4200001
AMAZONAS;CHACHAPOYAS;SONCHE;10121;50000;14889;3511;12468;17432;0;3;84.879997;18.6;0;18.6;3.49;1.16
AMAZONAS;BAGUA;BAGUA;10201;676040.2;1449935;205537;2688203;279097;845120;1783;31.5;20.92;3.03;0.75;2.3399999;2.51
AMAZONAS;BAGUA;ARAMANGO;10202;322910.44;596530;81012;310104;833796;50160;3329;66.849998;36.549999;18.49;9.1000004;5.3899999;4.8600001
AMAZONAS;BAGUA;COPALLIN;10203;65000;269589;60216;265142;262258;50920;91;71.769997;34.970001;14.42;2.1099999;1.5599999;7.4099998
AMAZONAS;BAGUA;EL PARCO;10204;51500;76947;17433;77308;68892;6080;76;80.669998;47.68;2.8399999;1.55;2.8399999;6.4400001
AMAZONAS;BAGUA;IMAZA;10205;200000;1453545;89667;528988;2408512;21280;2083;82.209999;47.93;29.98;11.73;9.5600004;5.04
AMAZONAS;BAGUA;LA PECA;10206;142999.5;383088;78974;464225;280675;49400;683;49.16;37.610001;6.8699999;1.37;1.83;5.3899999
AMAZONAS;BONGARA;JUMBILLA;10301;100293.44;65116;14700;106711;25589;16720;14;60.18;8.3699999;8.8199997;2.71;1.13;1.13
AMAZONAS;BONGARA;CHISQUILLA;10302;50000;18174;3591;12841;20459;760;1;83.480003;10.43;2.6099999;4.3499999;0.87;0.87
AMAZONAS;BONGARA;CHURUJA;10303;49999.87;15350;3810;29611;1089;13680;16;38.200001;15.73;4.4899998;21.35;1.12;3.3699999
AMAZONAS;BONGARA;COROSHA;10304;50000;42218;4788;8378;75622;0;2;87.120003;24.459999;3.4300001;4.7199998;0.43000001;1.72
AMAZONAS;BONGARA;CUISPES;10305;65944;34387;8270;40154;32646;3800;6;78.669998;21.780001;4;7.5599999;2.22;4
AMAZONAS;BONGARA;FLORIDA;10306;100000;310453;48985;382189;246011;180120;42;54.549999;24.549999;2.99;0.89999998;2.75;4.73
